번호,단어,병음,뜻,음독,예문1_중국어,예문1_한국어,예문1_병음,예문2_중국어,예문2_한국어,예문2_병음,예문3_중국어,예문3_한국어,예문3_병음,자주쓰는패턴1,자주쓰는패턴2,자주쓰는패턴3,학습포인트1,학습포인트2
1,爸爸,bà bà,아빠,파파,我晚上再跟爸爸说。,나 저녁에 아빠한테 다시 말할게.,wǒ wǎn shàng zài gēn bà bà shuō。,这事你跟爸爸提过没有？,이 일 너 아빠한테 말해봤어?,zhè shì nǐ gēn bà bà tí guò méi yǒu？,爸爸要是有空，我想当面跟他聊。,아빠 시간 되면 직접 얘기하고 싶어.,bà bà yào shì yǒu kòng， wǒ xiǎng dāng miàn gēn tā liáo。,我想……,……过,,"“爸爸”는 사람을 부르거나, 묻거나, 상의하는 장면에서 자주 나온다.",“跟爸爸说 / 问爸爸 / 找爸爸”처럼 사람을 바꿔 넣는 연습을 하면 응용 폭이 넓다.
2,身体,shēn tǐ,몸,신체,我最近身体还可以。,요즘 몸 상태는 괜찮아.,wǒ zuì jìn shēn tǐ hái kě yǐ。,你身体好点了吗？,몸은 좀 나아졌어?,nǐ shēn tǐ hǎo diǎn le ma？,如果身体不舒服的话，就早点休息。,몸이 불편하면 빨리 쉬어.,rú guǒ shēn tǐ bù shū fú de huà， jiù zǎo diǎn xiū xī。,如果……的话，……,,,“身体”는 몸 상태와 증상을 말할 때 바로 쓸 수 있는 표현이다.,어디가 불편한지 말하거나 병원에서 설명하는 장면과 함께 익히면 바로 써먹기 쉽다.
3,电脑,diàn nǎo,컴퓨터,전뇌,我电脑今天有点卡。,내 컴퓨터는 오늘 좀 버벅거린다.,wǒ diàn nǎo jīn tiān yǒu diǎn kǎ。,你电脑重启过了吗？,네 컴퓨터 재시작해 봤어?,nǐ diàn nǎo chóng qǐ guò le ma？,如果还是不行，我们换台电脑试试。,그래도 안 되면 컴퓨터를 바꿔 보자.,rú guǒ hái shì bù xíng， wǒ men huàn tái diàn nǎo shì shì。,……过,有点……,,“电脑”는 휴대폰·컴퓨터·앱 문맥에서 매우 자주 나오는 표현이다.,보내기·보기·열기·수정하기 같은 조작 동사와 같이 떠올리면 실제 사용 속도가 빨라진다.
4,明天,míng tiān,내일,명천,明天我得早点出门。,내일은 좀 일찍 나가야 해.,míng tiān wǒ děi zǎo diǎn chū mén。,你明天方便吗？,너 내일 시간 괜찮아?,nǐ míng tiān fāng biàn ma？,如果明天方便的话，我们一起吃饭。,내일 괜찮으면 같이 밥 먹자.,rú guǒ míng tiān fāng biàn de huà， wǒ men yì qǐ chī fàn。,如果……的话，……,,,“明天”는 시간 흐름을 자연스럽게 말할 때 매우 자주 쓰이는 표현이다.,문장 앞에 두어 상황 배경을 먼저 깔아 주는 연습을 하면 회화가 훨씬 자연스러워진다.
5,客厅,kè tīng,거실,객청,我在客厅坐一会儿。,나 거실에서 잠깐 앉아 있을게.,wǒ zài kè tīng zuò yī huì er。,你在客厅还是在房间？,"너 거실에 있어, 아니면 방에 있어?",nǐ zài kè tīng hái shì zài fáng jiān？,等会儿我们在客厅聊吧。,이따가 우리 거실에서 얘기하자.,děng huì er wǒ men zài kè tīng liáo ba。,,,,“客厅”는 위치를 말하거나 약속 장소를 잡을 때 아주 자주 쓰는 생활 표현이다.,“在/去/到/从 + 客厅” 형태로 통째로 익히면 실제 회화에서 바로 튀어나오기 쉽다.
6,后天,hòu tiān,모레,후천,后天我可能不在这边。,모레는 여기 없을 수도 있어.,hòu tiān wǒ kě néng bù zài zhè biān。,你后天能来吗？,모레 올 수 있어?,nǐ hòu tiān néng lái ma？,如果后天没空的话，我们再改时间。,모레 안 되면 시간을 다시 잡자.,rú guǒ hòu tiān méi kòng de huà， wǒ men zài gǎi shí jiān。,我可能……,可能……,如果……的话，……,“后天”는 시간 흐름을 자연스럽게 말할 때 매우 자주 쓰이는 표현이다.,문장 앞에 두어 상황 배경을 먼저 깔아 주는 연습을 하면 회화가 훨씬 자연스러워진다.
7,厨房,chú fáng,주방,주방,我妈还在厨房忙。,우리 엄마 아직 부엌에서 바빠.,wǒ mā hái zài chú fáng máng。,厨房里还有吃的吗？,부엌에 아직 먹을 거 있어?,chú fáng lǐ hái yǒu chī de ma？,你先把菜放厨房，我马上来。,"너 먼저 채소를 부엌에 놔, 나 바로 갈게.",nǐ xiān bǎ cài fàng chú fáng， wǒ mǎ shàng lái。,,,,“厨房”는 위치를 말하거나 약속 장소를 잡을 때 아주 자주 쓰는 생활 표현이다.,“在/去/到/从 + 厨房” 형태로 통째로 익히면 실제 회화에서 바로 튀어나오기 쉽다.
8,昨天,zuó tiān,어제,작천,昨天我回得很晚。,어제는 아주 늦게 돌아왔어.,zuó tiān wǒ huí dé hěn wǎn。,你昨天睡得好吗？,어제 잘 잤어?,nǐ zuó tiān shuì dé hǎo ma？,昨天的消息我今天才看到。,어제 온 메시지는 오늘에서야 봤어.,zuó tiān de xiāo xī wǒ jīn tiān cái kàn dào。,,,,“昨天”는 시간 흐름을 자연스럽게 말할 때 매우 자주 쓰이는 표현이다.,문장 앞에 두어 상황 배경을 먼저 깔아 주는 연습을 하면 회화가 훨씬 자연스러워진다.
9,卧室,wò shì,침실,와실,卧室我刚收拾过。,침실은 방금 정리했어.,wò shì wǒ gāng shōu shí guò。,卧室里会不会有点闷？,침실 안이 좀 답답하지 않을까?,wò shì lǐ huì bú huì yǒu diǎn mèn？,你先去卧室休息吧。,너 먼저 침실 가서 쉬어.,nǐ xiān qù wò shì xiū xī ba。,……过,有点……,,“卧室”는 위치를 말하거나 약속 장소를 잡을 때 아주 자주 쓰는 생활 표현이다.,“在/去/到/从 + 卧室” 형태로 통째로 익히면 실제 회화에서 바로 튀어나오기 쉽다.
10,前天,qián tiān,그저께,전천,前天我忙到很晚。,그저께는 늦게까지 바빴어.,qián tiān wǒ máng dào hěn wǎn。,你前天是不是也没睡好？,그저께 너도 잠을 잘 못 잤지?,nǐ qián tiān shì bú shì yě méi shuì hǎo？,前天的事我后来才知道。,그저께 일은 나중에야 알았어.,qián tiān de shì wǒ hòu lái cái zhī dào。,,,,“前天”는 시간 흐름을 자연스럽게 말할 때 매우 자주 쓰이는 표현이다.,문장 앞에 두어 상황 배경을 먼저 깔아 주는 연습을 하면 회화가 훨씬 자연스러워진다.
