번호,단어,병음,뜻,음독,예문1_중국어,예문1_한국어,예문1_병음,예문2_중국어,예문2_한국어,예문2_병음,예문3_중국어,예문3_한국어,예문3_병음,자주쓰는패턴1,자주쓰는패턴2,자주쓰는패턴3,학습포인트1,학습포인트2
1,早饭,zǎo fàn,아침밥,조반,我今天早饭吃得比较晚。,나는 오늘 아침을 좀 늦게 먹었다.,wǒ jīn tiān zǎo fàn chī dé bǐ jiào wǎn。,你早饭吃了吗？,너 아침 먹었어?,nǐ zǎo fàn chī le ma？,要是来不及，就路上随便买点早饭吧。,시간이 없으면 가는 길에 아침거리라도 대충 사자.,yào shì lái bù jí， jiù lù shàng suí biàn mǎi diǎn zǎo fàn ba。,比较……,A 比 B ……,,“早饭”는 먹고 마시고 주문하는 장면에서 바로 써먹을 수 있는 생활어다.,먹기/마시기/주문하기/같이 먹자고 제안하기까지 묶어 연습하면 활용도가 높다.
2,去,qù,가다,거,我先去公司了。,나 먼저 회사 갈게.,wǒ xiān qù gōng sī le。,你现在要去哪儿？,너 지금 어디 가?,nǐ xiàn zài yào qù nǎ ér？,你先去，我晚点到。,"너 먼저 가, 나는 좀 이따 도착할게.",nǐ xiān qù， wǒ wǎn diǎn dào。,,,,“去”는 실전회화에서 바로 써먹는 핵심 동사다.,“先/再/一下/以后” 같은 말과 붙여 여러 상황으로 바꿔 말하는 연습을 하면 좋다.
3,妈妈,mā mā,엄마,마마,我妈妈刚刚还问起你。,우리 엄마가 방금 너 얘기하셨어.,wǒ mā mā gāng gāng hái wèn qǐ nǐ。,这事要不要先跟妈妈商量？,이 일 먼저 엄마랑 상의할까?,zhè shì yào bù yào xiān gēn mā mā shāng liáng？,妈妈要是担心，我晚点再跟她解释。,엄마가 걱정하면 내가 나중에 다시 설명할게.,mā mā yào shì dān xīn， wǒ wǎn diǎn zài gēn tā jiě shì。,要不……,,,"“妈妈”는 사람을 부르거나, 묻거나, 상의하는 장면에서 자주 나온다.",“跟妈妈说 / 问妈妈 / 找妈妈”처럼 사람을 바꿔 넣는 연습을 하면 응용 폭이 넓다.
4,头疼,tóu téng,두통,두동,我今天有点头疼。,오늘은 좀 머리가 아파.,wǒ jīn tiān yǒu diǎn tóu téng。,你现在还头疼吗？,지금도 머리 아파?,nǐ xiàn zài hái tóu téng ma？,如果一直头疼的话，就先休息一下。,계속 머리 아프면 먼저 좀 쉬어.,rú guǒ yì zhí tóu téng de huà， jiù xiān xiū xī yī xià。,有点……,如果……的话，……,一直……,“头疼”는 몸 상태와 증상을 말할 때 바로 쓸 수 있는 표현이다.,어디가 불편한지 말하거나 병원에서 설명하는 장면과 함께 익히면 바로 써먹기 쉽다.
5,屏幕,píng mù,스크린,병막,这个屏幕有点反光。,이 화면은 빛이 좀 반사된다.,zhè ge píng mù yǒu diǎn fǎn guāng。,你那边屏幕看得清吗？,너희 쪽 화면 잘 보여?,nǐ nà biān píng mù kàn de qīng ma？,如果看不清，你就把屏幕亮度调高一点。,잘 안 보이면 화면 밝기를 좀 올려.,rú guǒ kàn bù qīng， nǐ jiù bǎ píng mù liàng dù diào gāo yì diǎn。,有点……,,,“屏幕”는 휴대폰·컴퓨터·앱 문맥에서 매우 자주 나오는 표현이다.,보내기·보기·열기·수정하기 같은 조작 동사와 같이 떠올리면 실제 사용 속도가 빨라진다.
6,咳嗽,ké sòu,기침,해수,我这两天老是咳嗽。,나 요즘 자꾸 기침이 나.,wǒ zhè liǎng tiān lǎo shì ké sòu。,你晚上咳嗽得厉害吗？,너 밤에 기침이 심해?,nǐ wǎn shàng ké sòu dé lì hài ma？,如果咳嗽一直不好，就早点去看医生。,기침이 계속 안 낫으면 일찍 병원에 가.,rú guǒ ké sòu yì zhí bù hǎo， jiù zǎo diǎn qù kàn yī shēng。,一直……,,,“咳嗽”는 몸 상태와 증상을 말할 때 바로 쓸 수 있는 표현이다.,어디가 불편한지 말하거나 병원에서 설명하는 장면과 함께 익히면 바로 써먹기 쉽다.
7,耳机,ěr jī,이어폰,이기,我的耳机找不到了。,내 이어폰이 안 보인다.,wǒ de ěr jī zhǎo bú dào le。,你带耳机了吗？,너 이어폰 가져왔어?,nǐ dài ěr jī le ma？,如果你不介意的话，我先借一下你的耳机。,괜찮으면 내가 네 이어폰을 잠깐 빌릴게.,rú guǒ nǐ bù jiè yì de huà， wǒ xiān jiè yī xià nǐ de ěr jī。,如果……的话，……,,,“耳机”는 휴대폰·컴퓨터·앱 문맥에서 매우 자주 나오는 표현이다.,보내기·보기·열기·수정하기 같은 조작 동사와 같이 떠올리면 실제 사용 속도가 빨라진다.
8,发烧,fā shāo,열,발소,我昨晚有点发烧。,어젯밤 좀 열이 났어.,wǒ zuó wǎn yǒu diǎn fā shāo。,你现在还发烧吗？,너 지금도 아직 열 나?,nǐ xiàn zài hái fā shāo ma？,如果一直发烧的话，就别硬撑了。,계속 열 나면 무리하지 마.,rú guǒ yì zhí fā shāo de huà， jiù bié yìng chēng le。,有点……,如果……的话，……,一直……,“发烧”는 몸 상태와 증상을 말할 때 바로 쓸 수 있는 표현이다.,어디가 불편한지 말하거나 병원에서 설명하는 장면과 함께 익히면 바로 써먹기 쉽다.
9,键盘,jiàn pán,키보드,건반,这个键盘打字还挺顺手的。,이 키보드는 타자가 꽤 잘 맞는다.,zhè ge jiàn pán dǎ zì hái tǐng shùn shǒu de。,你习惯用这种键盘吗？,너 이런 키보드에 익숙해?,nǐ xí guàn yòng zhè zhǒng jiàn pán ma？,如果按键不灵，我换个键盘给你。,키가 잘 안 먹으면 내가 키보드 바꿔 줄게.,rú guǒ àn jiàn bù líng， wǒ huàn gè jiàn pán gěi nǐ。,,,,“键盘”는 휴대폰·컴퓨터·앱 문맥에서 매우 자주 나오는 표현이다.,보내기·보기·열기·수정하기 같은 조작 동사와 같이 떠올리면 실제 사용 속도가 빨라진다.
10,感冒,gǎn mào,감기,감모,我这两天有点感冒。,나 요즘 좀 감기 기운 있어.,wǒ zhè liǎng tiān yǒu diǎn gǎn mào。,你感冒还没好吗？,너 감기는 아직 안 나았어?,nǐ gǎn mào hái méi hǎo ma？,如果感冒一直不好，就早点去看医生。,감기가 계속 안 낫으면 일찍 병원에 가.,rú guǒ gǎn mào yì zhí bù hǎo， jiù zǎo diǎn qù kàn yī shēng。,有点……,一直……,,“感冒”는 몸 상태와 증상을 말할 때 바로 쓸 수 있는 표현이다.,어디가 불편한지 말하거나 병원에서 설명하는 장면과 함께 익히면 바로 써먹기 쉽다.
